symbol,time,recent_message_type,bid_no_of_order,bid_quantity,bid_price,ask_price,ask_quantity,ask_no_of_order
GARAN,1572850800134107649,A,4,50022,9.39,9.4,320457,3
GARAN,1572850800173950712,E,7,6776,9.38,9.4,320457,3
GARAN,1572850800173950712,A,7,6776,9.38,9.39,49978,1
GARAN,1572850800174367602,E,7,6776,9.38,9.4,320457,3
GARAN,1572850800381229878,A,7,6776,9.38,9.39,2500,1
GARAN,1572850800854369448,E,8,10076,9.38,9.4,320435,3
GARAN,1572850800889798572,A,7,10061,9.38,9.39,500,1
GARAN,1572850800899346820,E,7,10061,9.38,9.4,300440,4
GARAN,1572850800905405349,A,7,10061,9.38,9.39,10,1
GARAN,1572850800983020004,E,6,10011,9.38,9.4,295950,5
GARAN,1572850800984487027,A,1,10,9.39,9.4,197783,7
GARAN,1572850800985314807,E,6,10011,9.38,9.4,197983,8
GARAN,1572850800985314807,A,6,10011,9.38,9.39,100,1
GARAN,1572850800985698054,E,6,10011,9.38,9.4,197983,8
GARAN,1572850801072578989,A,1,7500,9.39,9.4,167977,7
GARAN,1572850801307304023,E,7,15011,9.38,9.4,243807,9
GARAN,1572850801307304023,A,7,15011,9.38,9.39,92600,1
GARAN,1572850801307738880,E,7,15011,9.38,9.4,243807,9
GARAN,1572850801307738880,A,1,4932,9.39,9.4,243807,9
GARAN,1572850803518904898,E,6,38037,9.39,9.41,342321,20
GARAN,1572850803518904898,A,1,5656,9.4,9.41,342321,20
GARAN,1572850803519086436,E,6,38037,9.39,9.41,342321,20
GARAN,1572850803519086436,A,6,38037,9.39,9.4,1844,1
GARAN,1572850803785165323,E,6,38037,9.39,9.41,342321,20
GARAN,1572850803785165323,A,1,156,9.4,9.41,342321,20
GARAN,1572850803785507780,E,6,38037,9.39,9.41,342321,20
GARAN,1572850803785697269,A,6,38037,9.39,9.4,7500,1
GARAN,1572850804014369703,E,6,38037,9.39,9.41,342321,20
GARAN,1572850804398528269,A,1,400,9.4,9.41,342321,20
GARAN,1572850825387746887,E,6,37861,9.39,9.41,357831,22
GARAN,1572850825388072137,A,6,37861,9.39,9.4,7500,1
GARAN,1572850894752120527,E,12,18298,9.38,9.4,216447,16
GARAN,1572850894752120527,A,12,18298,9.38,9.39,18890,1
GARAN,1572850923919761369,E,19,226333,9.37,9.39,117038,11
GARAN,1572850923919761369,A,19,226333,9.37,9.38,1434,1
GARAN,1572850924121550114,E,20,233833,9.37,9.39,110589,11
GARAN,1572850924121782475,A,1,7500,9.38,9.39,110589,11
GARAN,1572850926020923033,E,20,233833,9.37,9.39,110820,11
GARAN,1572850926020923033,A,20,233833,9.37,9.38,30769,1
GARAN,1572850945391780732,E,14,212570,9.37,9.39,84820,9
GARAN,1572850945392001624,A,1,7500,9.38,9.39,84820,9
GARAN,1572850946803651891,E,14,212570,9.37,9.39,84820,9
GARAN,1572850946803651891,A,14,212570,9.37,9.38,2500,1
GARAN,1572850986930259345,E,17,254360,9.37,9.39,107039,13
GARAN,1572850986930747229,A,1,7500,9.38,9.39,107039,13
GARAN,1572850988351856488,E,18,207919,9.37,9.39,107039,13
GARAN,1572850988351856488,A,18,207919,9.37,9.38,19264,1
GARAN,1572850988483557532,E,18,207919,9.37,9.39,107039,13
GARAN,1572850988483807839,A,1,7500,9.38,9.39,102581,12
GARAN,1572851016972333795,E,18,199599,9.37,9.39,116359,15
GARAN,1572851016972498493,A,18,199599,9.37,9.38,5000,1
GARAN,1572851019343671036,E,19,201210,9.37,9.39,116359,15
GARAN,1572851019343671036,A,1,96109,9.38,9.39,116359,15
GARAN,1572851051649520806,E,10,159809,9.38,9.4,99922,25
GARAN,1572851051649780961,A,1,7500,9.39,9.4,99922,25
GARAN,1572851155279296173,E,14,153038,9.38,9.4,209397,41
GARAN,1572851155279708623,A,14,153038,9.38,9.39,7500,1
GARAN,1572851186988927197,E,23,193265,9.37,9.39,190333,9
GARAN,1572851186988927197,A,23,193265,9.37,9.38,38227,1
GARAN,1572851209331159043,E,22,191465,9.37,9.39,191896,11
GARAN,1572851209331401148,A,1,7500,9.38,9.39,191896,11
GARAN,1572851213274785501,E,21,191365,9.37,9.39,203896,12
GARAN,1572851213274785501,A,21,191365,9.37,9.38,77351,1
GARAN,1572851272949323415,E,24,186346,9.37,9.39,204896,13
GARAN,1572851272949323415,A,1,417,9.38,9.39,204896,13
GARAN,1572851497563121055,E,22,181862,9.38,9.4,307576,67
GARAN,1572851497563121055,A,22,181862,9.38,9.39,4,1
GARAN,1572851497563389054,E,22,181862,9.38,9.4,307576,67
GARAN,1572851497563524879,A,1,7500,9.39,9.4,307576,67
GARAN,1572851514274569679,E,11,172990,9.39,9.41,149456,35
GARAN,1572851514274569679,A,1,1429,9.4,9.41,149456,35
GARAN,1572851514274620769,E,11,172990,9.39,9.41,149456,35
GARAN,1572851514274620769,A,11,172990,9.39,9.4,23571,1
GARAN,1572851514426498399,E,12,187570,9.39,9.41,156956,36
GARAN,1572851519456147448,A,1,5000,9.4,9.41,156956,36
GARAN,1572851524073129225,E,10,153680,9.4,9.42,121719,36
GARAN,1572851524073129225,A,1,127878,9.41,9.42,121719,36
GARAN,1572851557066056652,E,9,117628,9.4,9.42,129963,19
GARAN,1572851557066227243,A,9,117628,9.4,9.41,7500,1
GARAN,1572851637860174110,E,14,144242,9.4,9.42,126688,25
GARAN,1572851637860174110,A,1,89158,9.41,9.42,126688,25
GARAN,1572851738283293177,E,17,107737,9.41,9.43,180549,25
GARAN,1572851738283293177,A,1,9378,9.42,9.43,180549,25
GARAN,1572851738285095087,E,17,107737,9.41,9.43,188049,26
GARAN,1572851738285095087,A,17,107737,9.41,9.42,622,1
GARAN,1572851741692518131,E,18,115237,9.41,9.43,191049,27
GARAN,1572851741692518131,A,1,69282,9.42,9.43,191049,27
GARAN,1572851742306874756,E,17,101049,9.41,9.43,191049,27
GARAN,1572851742307102670,A,17,101049,9.41,9.42,7500,1
GARAN,1572851742527141173,E,18,101422,9.41,9.43,191049,27
GARAN,1572851742527552406,A,1,7500,9.42,9.43,191049,27
GARAN,1572851742527694294,E,18,101422,9.41,9.43,191049,27
GARAN,1572851742649717595,A,1,10766,9.42,9.43,191049,27
GARAN,1572851742778080758,D,20,112561,9.41,9.43,191049,27
GARAN,1572851743430751968,A,1,500,9.42,9.43,191049,27
GARAN,1572851743430878094,E,17,100591,9.41,9.43,191049,27
GARAN,1572851744798468214,A,17,100591,9.41,9.42,1326,1
GARAN,1572851747517652102,E,18,118165,9.41,9.43,191049,27
GARAN,1572851747517652102,A,1,42774,9.42,9.43,191049,27
GARAN,1572851780933753521,E,18,120899,9.42,9.44,120056,37
GARAN,1572851780933753521,A,1,20654,9.43,9.44,120056,37
GARAN,1572851864656669864,E,13,82105,9.42,9.44,322179,43
GARAN,1572851864656844396,A,13,82105,9.42,9.43,7500,1
GARAN,1572851935885276456,E,9,48117,9.41,9.43,119387,33
GARAN,1572851935885616339,A,9,48117,9.41,9.42,4112,1
