"","symbolCode","symbolId","deleted","description","exchangeId","fraction","marketCode"
"3831","GOODY",231,FALSE,"GOODYEAR",4,2,"Z"
"3832","ALKIM",34,FALSE,"ALKIM ALKALI KIMYA A.S.",4,2,"Z"
"3847","KOZAL",2177,FALSE,"KOZA ALTIN ISLETMELERI A.S.",4,2,"Z"
"3857","TTKOM",1772,FALSE,"TURK TELEKOMUNIKASYON AS",4,2,"Z"
"3872","VESTL",578,FALSE,"VESTEL ELEKTRONIK",4,2,"Z"
"3873","TRGYO",2304,FALSE,"TORUNLAR GAYRI MENKUL YAT ORT AS",4,2,"Z"
"3874","TCELL",519,FALSE,"TURKCELL ILETISIM HIZMETLERI AS",4,2,"Z"
"3894","PETKM",435,FALSE,"PETKIM AS",4,2,"Z"
"3896","SISE",492,FALSE,"T. SISE VE CAM FABRIKALARI AS",4,2,"Z"
"3908","CEMTS",99,FALSE,"CEMTAS",4,2,"Z"
"3909","GOZDE",2172,FALSE,"GOZDE GIRISIM SERMAYESI",4,2,"Z"
"3922","MGROS",346,FALSE,"MIGROS TICARET A.S.",4,2,"Z"
"3935","ENKAI",175,FALSE,"ENKA INSAAT VE SANAYI A.S.",4,2,"Z"
"3938","ISMEN",1546,FALSE,"IS YATIRIM MENKUL DEG",4,2,"Z"
"3950","TSKB",551,FALSE,"T. SINAI KALKINMA BANKASI AS",4,2,"Z"
"3957","HALKB",1543,FALSE,"T HALK BANKASI A.S.",4,2,"Z"
"3958","AKSEN",2209,FALSE,"AKSA ENERJI URETIM A.S.",4,2,"Z"
"3973","YKBNK",616,FALSE,"YAPI VE KREDI BANKASI AS",4,2,"Z"
"3982","TMSN",4373,FALSE,"TUMOSAN MOTOR VE TRAKTOR SAN AS",4,2,"Z"
"3983","ECZYT",161,FALSE,"ECZACIBASI YATIRIM",4,2,"Z"
"3995","DOAS",905,FALSE,"DOGUS OTOMOTIV",4,2,"Z"
"4031","ZOREN",635,FALSE,"ZORLU ENERJI ELEK URET OTOPRD GR",4,2,"Z"
"4032","BRISA",81,FALSE,"BRISA",4,2,"Z"
"4034","VAKBN",1241,FALSE,"TURKIYE VAKIFLAR BANKASI TAO",4,2,"Z"
"4035","DOHOL",148,FALSE,"DOGAN HOLDING",4,2,"Z"
"4045","SKBNK",495,FALSE,"SEKERBANK",4,2,"Z"
"4048","AKBNK",20,FALSE,"AKBANK",4,2,"Z"
"4058","ANACM",39,FALSE,"ANADOLU CAM",4,2,"Z"
"4060","ISGYO",277,FALSE,"IS GAYRIMENKUL YATIRIM ORTAKLIGI",4,2,"Z"
"4073","KARSN",304,FALSE,"KARSAN OTOMOTIV SAN TIC A.S.",4,2,"Z"
"4074","HURGZ",252,FALSE,"HURRIYET GAZETECILIK",4,2,"Z"
"4084","CLEBI",112,FALSE,"CELEBI HAVA SERVISI A.S.",4,2,"Z"
"4085","GARAN",209,FALSE,"T. GARANTI BANKASI",4,2,"Z"
"4096","SARKY",465,FALSE,"SARKUYSAN",4,2,"Z"
"4110","KERVT",309,FALSE,"KEREVITAS GIDA",4,2,"Z"
"4111","AYGAZ",62,FALSE,"AYGAZ",4,2,"Z"
"4122","TTRAK",903,FALSE,"TURK TRAKTOR AS",4,2,"Z"
"4135","KOZAA",319,FALSE,"KOZA ANADOLU METAL MADENCILIK IS",4,2,"Z"
"4148","BIMAS",1140,FALSE,"BIM BIRLESIK MAGAZALAR A.S.",4,2,"Z"
"4150","TKFEN",1638,FALSE,"TEKFEN HOLDING AS",4,2,"Z"
"4174","BRSAN",85,FALSE,"BORUSAN MANNESMAN BORU SAN VE TI",4,2,"Z"
"4177","ANSGR",42,FALSE,"ANADOLU SIGORTA  A.S.",4,2,"Z"
"4187","FROTO",206,FALSE,"FORD OTOMOTIV SANAYI",4,2,"Z"
"4236","KARTN",305,FALSE,"KARTONSAN",4,2,"Z"
"4240","TOASO",535,FALSE,"TOFAS TURK OTOMOTIV FABRIKASI AS",4,2,"Z"
"4250","TUPRS",555,FALSE,"TUPRS TURKIYE PETROL AS",4,2,"Z"
