,date,DOHOL,THYAO
0,2019-12-31 10:00:01.535000350,1.0,-1.0
1,2019-12-31 10:09:13.590000030,-1.0,-1.0
2,2019-12-31 10:19:50.898000030,1.0,1.0
3,2019-12-31 10:36:45.324000150,-1.0,-1.0
4,2019-12-31 11:50:20.864000030,-1.0,-1.0
5,2019-12-31 16:36:18.722000010,1.0,-1.0
6,2019-12-31 17:02:58.550000020,-1.0,-1.0
7,2019-12-31 17:49:02.806000020,1.0,-1.0
8,2019-12-31 17:57:06.590000040,-1.0,-1.0
9,2019-12-31 17:59:34.232000060,1.0,-1.0
10,2020-01-02 10:03:01.943000060,1.0,1.0
11,2020-01-02 10:06:10.590000110,-1.0,-1.0
12,2020-01-02 10:26:09.315000020,1.0,1.0
13,2020-01-02 10:33:26.695000020,1.0,-1.0
14,2020-01-02 10:38:16.440000070,1.0,0.0
15,2020-01-02 10:44:26.429000020,-1.0,0.0
16,2020-01-02 10:47:39.777000050,1.0,1.0
17,2020-01-02 11:00:18.143000100,-1.0,0.0
18,2020-01-02 11:01:05.159000070,1.0,0.0
19,2020-01-02 11:01:11.237000020,-1.0,1.0
20,2020-01-02 11:24:36.011000020,-1.0,0.0
21,2020-01-02 11:24:43.604000010,1.0,0.0
22,2020-01-02 11:24:52.166000040,-1.0,1.0
23,2020-01-02 11:25:24.894000050,1.0,0.0
24,2020-01-02 11:25:28.424000060,-1.0,0.0
25,2020-01-02 11:26:57.434000050,1.0,1.0
26,2020-01-02 11:29:56.524000020,1.0,1.0
27,2020-01-02 11:33:41.612000020,1.0,1.0
28,2020-01-02 11:35:02.683000020,-1.0,1.0
29,2020-01-02 11:35:12.394000060,1.0,0.0
30,2020-01-02 11:35:12.496000130,-1.0,0.0
31,2020-01-02 11:35:13.001000020,1.0,1.0
32,2020-01-02 11:37:59.685000040,-1.0,-1.0
33,2020-01-02 12:13:20.373000060,-1.0,-1.0
34,2020-01-02 15:26:21.029000040,1.0,1.0
35,2020-01-02 15:37:34.265000040,1.0,1.0
36,2020-01-02 15:39:05.561000020,1.0,1.0
37,2020-01-02 15:41:23.148000090,1.0,0.0
38,2020-01-02 15:42:10.401000020,1.0,1.0
39,2020-01-02 15:42:51.441000020,-1.0,0.0
40,2020-01-02 15:43:13.282000030,1.0,1.0
41,2020-01-02 16:00:35.173000020,-1.0,1.0
42,2020-01-02 16:48:12.706000010,1.0,1.0
43,2020-01-02 17:32:26.791000020,-1.0,1.0
44,2020-01-03 10:02:09.955000100,-1.0,-1.0
45,2020-01-03 10:09:59.181000070,1.0,1.0
46,2020-01-03 10:14:53.022000050,1.0,1.0
