date,DOHOL,THYAO
2019-12-31 10:00:01.535000320,1,0
2019-12-31 10:00:01.535000350,1,-1
2019-12-31 10:09:13.589000080,-1,0
2019-12-31 10:09:13.590000030,-1,-1
2019-12-31 10:19:50.898000030,1,1
2019-12-31 10:36:45.324000150,-1,-1
2019-12-31 11:50:20.863000010,-1,0
2019-12-31 11:50:20.864000030,-1,-1
2019-12-31 16:36:18.722000010,1,-1
2019-12-31 17:02:58.449000040,-1,0
2019-12-31 17:02:58.550000020,-1,-1
2019-12-31 17:49:02.800000030,1,0
2019-12-31 17:49:02.806000020,1,-1
2019-12-31 17:57:06.590000010,-1,0
2019-12-31 17:57:06.590000040,-1,-1
2019-12-31 17:59:34.232000060,1,-1
2020-01-02 10:03:01.943000020,1,0
2020-01-02 10:03:01.943000060,1,1
2020-01-02 10:06:10.590000070,-1,0
2020-01-02 10:06:10.590000110,-1,-1
2020-01-02 10:26:09.314000010,1,0
2020-01-02 10:26:09.315000020,1,1
2020-01-02 10:33:26.680000010,1,0
2020-01-02 10:33:26.695000020,1,-1
2020-01-02 10:38:16.440000040,1,0
2020-01-02 10:38:16.440000070,1,0
2020-01-02 10:44:26.421000010,-1,0
2020-01-02 10:44:26.429000020,-1,0
2020-01-02 10:47:39.777000050,1,1
2020-01-02 11:00:18.143000070,-1,0
2020-01-02 11:00:18.143000100,-1,0
2020-01-02 11:01:05.159000070,1,0
2020-01-02 11:01:11.233000010,-1,0
2020-01-02 11:01:11.237000020,-1,1
2020-01-02 11:24:36.010000010,-1,0
2020-01-02 11:24:36.011000020,-1,0
2020-01-02 11:24:43.604000010,1,0
2020-01-02 11:24:52.166000010,-1,0
2020-01-02 11:24:52.166000040,-1,1
2020-01-02 11:25:24.894000050,1,0
2020-01-02 11:25:28.424000030,-1,0
2020-01-02 11:25:28.424000060,-1,0
2020-01-02 11:26:57.434000050,1,1
2020-01-02 11:29:56.518000010,1,0
2020-01-02 11:29:56.524000020,1,1
2020-01-02 11:33:41.611000260,1,0
2020-01-02 11:33:41.612000020,1,1
2020-01-02 11:35:02.617000040,-1,0
2020-01-02 11:35:02.683000020,-1,1
2020-01-02 11:35:12.394000060,1,0
2020-01-02 11:35:12.496000100,-1,0
2020-01-02 11:35:12.496000130,-1,0
2020-01-02 11:35:13.001000020,1,1
2020-01-02 11:37:59.685000010,-1,0
2020-01-02 11:37:59.685000040,-1,-1
2020-01-02 12:13:20.373000030,-1,0
2020-01-02 12:13:20.373000060,-1,-1
2020-01-02 15:26:21.029000010,1,0
2020-01-02 15:26:21.029000040,1,1
2020-01-02 15:37:34.245000080,1,0
