symbol_pvc,p_value_chi2,symbol_pvfe,p_value_fisher_exact,symbol_as,accuracy_score,symbol_ars,adjusted_rand_score,symbol_mc,matthews_corrcoef,symbol_mis,mutual_info_score
"('KOZAA', 'KOZAL')",0.0,"('KOZAA', 'KOZAL')",0.0,"('PGSUS', 'TSKB')",0.0030006191753850003,"('TSKB', 'KCHOL')",-0.002335367066435,"('EKGYO', 'KCHOL')",-0.040324827916889,"('KOZAL', 'TSKB')",6.16729907573776e-07
"('KOZAL', 'KOZAA')",0.0,"('KOZAL', 'KOZAA')",0.0,"('KOZAL', 'TSKB')",0.0033198224281029997,"('TSKB', 'ASELS')",-0.001794880153647,"('EKGYO', 'BIMAS')",-0.035789020513397996,"('DOHOL', 'FROTO')",2.1576901990672e-06
"('THYAO', 'GARAN')",2.2931142301448687e-218,"('THYAO', 'GARAN')",1.0703119925651597e-224,"('KOZAA', 'TSKB')",0.0034819957882449995,"('TSKB', 'AKBNK')",-0.001567368259276,"('TSKB', 'BIMAS')",-0.034531274177065,"('BIMAS', 'EKGYO')",2.25413889498767e-06
"('THYAO', 'PGSUS')",2.7582779360786787e-205,"('THYAO', 'PGSUS')",1.5163158521535896e-209,"('TKFEN', 'TSKB')",0.0038361242214609995,"('TSKB', 'FROTO')",-0.0014939974658420001,"('TSKB', 'FROTO')",-0.027449254532837003,"('KOZAA', 'TSKB')",9.45266777040849e-06
"('GARAN', 'AKBNK')",5.683769214068857e-202,"('GARAN', 'AKBNK')",1.7882747833226692e-207,"('THYAO', 'TSKB')",0.0039061569608190004,"('DOHOL', 'FROTO')",-0.000880921073467,"('TSKB', 'EREGL')",-0.014042964319261001,"('SAHOL', 'TSKB')",1.10269750847672e-05
"('GARAN', 'VAKBN')",2.8602187186107393e-200,"('GARAN', 'VAKBN')",2.0987557299026688e-207,"('PGSUS', 'EKGYO')",0.003917463640545,"('DOHOL', 'BIMAS')",-0.000696998355332,"('DOHOL', 'KCHOL')",-0.012674350463263002,"('THYAO', 'TSKB')",1.10968233265341e-05
"('GARAN', 'THYAO')",3.725168012138059e-186,"('GARAN', 'THYAO')",7.689102019104785e-190,"('KOZAL', 'EKGYO')",0.004326245244027,"('TSKB', 'EREGL')",-0.0006427238107540001,"('EKGYO', 'TOASO')",-0.012564670601808998,"('FROTO', 'TSKB')",1.91793465722633e-05
"('THYAO', 'ASELS')",5.888652651931708e-183,"('THYAO', 'ASELS')",2.212471972280989e-187,"('KOZAA', 'EKGYO')",0.004604166666667,"('DOHOL', 'KCHOL')",-0.0006381919501230001,"('DOHOL', 'TOASO')",-0.011912944143183,"('KOZAA', 'EKGYO')",2.0125229894125602e-05
"('GARAN', 'PGSUS')",1.3502057219196298e-166,"('GARAN', 'PGSUS')",3.0890306827473094e-167,"('BIMAS', 'TSKB')",0.004783581513772,"('DOHOL', 'HALKB')",-0.000489641082295,"('EKGYO', 'TAVHL')",-0.01049181130375,"('TKFEN', 'TSKB')",3.1374692383323196e-05
"('AKBNK', 'GARAN')",1.1922806734038297e-155,"('AKBNK', 'GARAN')",1.5891047215744293e-160,"('TKFEN', 'EKGYO')",0.005016146393972,"('TSKB', 'VAKBN')",-0.00042322678392499996,"('EKGYO', 'TTKOM')",-0.009212314245914,"('FROTO', 'EKGYO')",3.21486037576611e-05
"('GARAN', 'TTKOM')",3.030647592679469e-151,"('GARAN', 'TTKOM')",1.4329874242944397e-155,"('BIMAS', 'EKGYO')",0.005455942622951,"('DOHOL', 'KOZAA')",-0.00037745214059800006,"('EKGYO', 'EREGL')",-0.005228384843052,"('KOZAL', 'EKGYO')",4.19687966566051e-05
"('THYAO', 'VAKBN')",1.2118259366221194e-149,"('THYAO', 'VAKBN')",3.2678351802324194e-154,"('THYAO', 'EKGYO')",0.005458489261793001,"('AKBNK', 'DOHOL')",-0.000346582432995,"('FROTO', 'TSKB')",-0.001841091873964,"('PGSUS', 'TSKB')",4.27731081741375e-05
"('GARAN', 'EREGL')",8.413760814755127e-147,"('THYAO', 'EREGL')",3.1365008645965285e-148,"('TCELL', 'TSKB')",0.005636478784041,"('TUPRS', 'DOHOL')",-0.000292240022651,"('KCHOL', 'TSKB')",-0.001841032682891,"('THYAO', 'EKGYO')",4.6742537865945204e-05
"('THYAO', 'EREGL')",2.7700486338897693e-144,"('GARAN', 'EREGL')",1.1546311633440797e-147,"('TOASO', 'TSKB')",0.005665080444141999,"('DOHOL', 'SAHOL')",-0.000257555096319,"('YKBNK', 'FROTO')",-0.0013800883396449999,"('KOZAA', 'DOHOL')",5.2004973281765504e-05
