,date,AKBNK,ARCLK
0,2019-12-31 10:00:06.942000020,1.0,0.0
1,2019-12-31 10:00:06.966000020,1.0,1.0
2,2019-12-31 10:00:53.347000020,-1.0,0.0
3,2019-12-31 10:00:53.347000060,-1.0,1.0
4,2019-12-31 10:01:49.648000180,1.0,0.0
5,2019-12-31 10:01:50.254000320,-1.0,0.0
6,2019-12-31 10:01:58.639000240,-1.0,1.0
7,2019-12-31 10:06:13.301000280,-1.0,0.0
8,2019-12-31 10:06:13.301000310,-1.0,-1.0
9,2019-12-31 10:11:57.237000430,-1.0,0.0
10,2019-12-31 10:11:57.237000470,-1.0,-1.0
11,2019-12-31 10:12:18.345000200,-1.0,1.0
12,2019-12-31 10:12:51.641000290,1.0,0.0
13,2019-12-31 10:12:51.641000320,1.0,-1.0
14,2019-12-31 10:14:09.004000100,-1.0,0.0
15,2019-12-31 10:14:09.004000130,-1.0,-1.0
16,2019-12-31 10:14:25.401000300,1.0,1.0
17,2019-12-31 10:14:42.748000000,1.0,-1.0
18,2019-12-31 10:16:07.179000010,1.0,1.0
19,2019-12-31 10:16:46.220000300,-1.0,0.0
20,2019-12-31 10:16:46.322000180,1.0,0.0
21,2019-12-31 10:16:48.954000250,-1.0,0.0
22,2019-12-31 10:16:52.607000540,1.0,0.0
23,2019-12-31 10:16:52.608000030,1.0,0.0
24,2019-12-31 10:16:58.983000480,-1.0,1.0
25,2019-12-31 10:17:04.843000120,1.0,-1.0
26,2019-12-31 10:19:56.771000320,-1.0,0.0
27,2019-12-31 10:20:03.179000020,1.0,0.0
28,2019-12-31 10:20:40.675000150,-1.0,0.0
29,2019-12-31 10:20:52.027000220,-1.0,1.0
30,2019-12-31 10:23:02.330000200,1.0,0.0
31,2019-12-31 10:23:02.432000230,-1.0,0.0
32,2019-12-31 10:23:03.550000280,1.0,0.0
33,2019-12-31 10:23:06.796000280,-1.0,1.0
34,2019-12-31 10:24:42.271000150,1.0,1.0
35,2019-12-31 10:27:12.084000260,1.0,0.0
36,2019-12-31 10:27:35.398000160,1.0,1.0
37,2019-12-31 10:27:52.087000140,-1.0,1.0
38,2019-12-31 10:31:30.709000180,-1.0,0.0
39,2019-12-31 10:31:30.709000210,-1.0,1.0
40,2019-12-31 10:32:44.623000030,1.0,0.0
41,2019-12-31 10:32:44.825000230,-1.0,0.0
42,2019-12-31 10:32:48.055000200,-1.0,0.0
43,2019-12-31 10:33:08.151000040,-1.0,1.0
44,2019-12-31 10:34:47.604000200,1.0,0.0
45,2019-12-31 10:34:47.807000410,-1.0,1.0
46,2019-12-31 10:35:12.906000320,-1.0,-1.0
47,2019-12-31 10:35:38.270000200,1.0,1.0
48,2019-12-31 10:36:16.147000230,1.0,1.0
49,2019-12-31 10:42:32.460000110,1.0,0.0
50,2019-12-31 10:42:32.460000140,1.0,0.0
51,2019-12-31 10:42:32.561000190,-1.0,0.0
52,2019-12-31 10:42:32.561000230,-1.0,0.0
53,2019-12-31 10:42:37.904000010,1.0,1.0
54,2019-12-31 10:42:48.195000240,1.0,0.0
55,2019-12-31 10:42:48.295000190,-1.0,0.0
56,2019-12-31 10:42:48.599000220,1.0,1.0
57,2019-12-31 10:47:49.347000220,1.0,0.0
58,2019-12-31 10:47:49.449000280,-1.0,0.0
59,2019-12-31 10:48:41.039000190,1.0,0.0
60,2019-12-31 10:48:41.039000220,1.0,-1.0
61,2019-12-31 10:51:02.114000090,-1.0,-1.0
62,2019-12-31 11:01:12.569000230,-1.0,0.0
63,2019-12-31 11:01:12.569000260,-1.0,0.0
64,2019-12-31 11:01:58.812000190,1.0,0.0
65,2019-12-31 11:01:58.812000220,1.0,0.0
66,2019-12-31 11:02:04.357000410,-1.0,0.0
67,2019-12-31 11:02:18.274000320,-1.0,0.0
68,2019-12-31 11:03:42.954000060,1.0,0.0
69,2019-12-31 11:03:48.317000300,1.0,0.0
70,2019-12-31 11:03:50.143000180,-1.0,0.0
71,2019-12-31 11:03:59.823000190,1.0,0.0
72,2019-12-31 11:09:31.952000180,-1.0,0.0
73,2019-12-31 11:09:31.952000210,-1.0,-1.0
74,2019-12-31 11:13:57.959000020,-1.0,0.0
75,2019-12-31 11:13:57.959000050,-1.0,0.0
76,2019-12-31 11:16:50.300000340,1.0,0.0
77,2019-12-31 11:16:50.401000150,-1.0,0.0
78,2019-12-31 11:16:52.121000060,1.0,0.0
79,2019-12-31 11:16:52.221000120,-1.0,0.0
80,2019-12-31 11:16:56.857000340,-1.0,1.0
81,2019-12-31 11:18:16.951000100,1.0,1.0
82,2019-12-31 11:19:56.414000200,-1.0,0.0
83,2019-12-31 11:19:56.722000290,-1.0,1.0
84,2019-12-31 11:20:49.693000030,1.0,0.0
85,2019-12-31 11:20:49.996000060,-1.0,0.0
86,2019-12-31 11:20:50.199000370,-1.0,-1.0
87,2019-12-31 11:28:28.756000330,1.0,0.0
88,2019-12-31 11:28:28.857000270,-1.0,-1.0
89,2019-12-31 11:30:34.573000060,-1.0,0.0
90,2019-12-31 11:30:36.600000260,-1.0,-1.0
91,2019-12-31 11:39:22.027000170,-1.0,0.0
92,2019-12-31 11:39:22.027000200,-1.0,1.0
93,2019-12-31 11:45:23.269000100,1.0,1.0
94,2019-12-31 11:45:47.162000120,-1.0,1.0
95,2019-12-31 11:46:14.605000310,-1.0,-1.0
96,2019-12-31 11:50:00.252000400,-1.0,0.0
97,2019-12-31 11:50:00.252000440,-1.0,-1.0
98,2019-12-31 11:52:45.879000210,1.0,0.0
99,2019-12-31 11:52:45.879000260,1.0,0.0
100,2019-12-31 11:52:45.947000020,-1.0,0.0
101,2019-12-31 11:52:46.183000350,1.0,0.0
102,2019-12-31 11:53:03.773000260,-1.0,0.0
103,2019-12-31 11:53:06.398000030,-1.0,1.0
104,2019-12-31 12:00:32.061000290,1.0,0.0
105,2019-12-31 12:00:32.061000320,1.0,1.0
106,2019-12-31 12:02:30.525000270,-1.0,-1.0
107,2019-12-31 12:03:54.137000010,1.0,-1.0
108,2019-12-31 12:04:28.078000230,-1.0,0.0
109,2019-12-31 12:05:48.776000000,1.0,0.0
110,2019-12-31 12:05:48.868000100,-1.0,-1.0
111,2019-12-31 12:06:16.084000000,-1.0,-1.0
112,2019-12-31 12:21:49.039000250,-1.0,0.0
113,2019-12-31 12:21:49.140000180,1.0,0.0
114,2019-12-31 12:21:51.160000170,-1.0,-1.0
115,2019-12-31 12:21:57.740000480,-1.0,1.0
116,2019-12-31 12:24:03.207000120,-1.0,0.0
117,2019-12-31 12:24:03.207000160,-1.0,1.0
118,2019-12-31 12:32:20.766000160,1.0,1.0
119,2019-12-31 13:41:53.862000310,-1.0,0.0
120,2019-12-31 13:41:58.794000310,-1.0,-1.0
121,2019-12-31 14:08:48.112000330,1.0,0.0
122,2019-12-31 14:08:48.112000390,1.0,-1.0
123,2019-12-31 14:13:51.794000040,1.0,-1.0
124,2019-12-31 14:15:06.854000190,-1.0,1.0
125,2019-12-31 14:23:57.704000220,-1.0,0.0
126,2019-12-31 14:23:57.704000250,-1.0,0.0
127,2019-12-31 14:24:05.570000260,1.0,-1.0
128,2019-12-31 14:24:14.735000230,-1.0,0.0
129,2019-12-31 14:24:14.736000020,-1.0,0.0
130,2019-12-31 14:24:14.838000230,1.0,-1.0
131,2019-12-31 14:41:54.384000200,-1.0,0.0
132,2019-12-31 14:41:54.384000230,-1.0,1.0
133,2019-12-31 15:07:14.248000290,-1.0,0.0
134,2019-12-31 15:07:14.248000330,-1.0,0.0
135,2019-12-31 15:08:01.165000300,-1.0,0.0
136,2019-12-31 15:08:01.165000340,-1.0,-1.0
137,2019-12-31 15:17:16.415000090,-1.0,0.0
138,2019-12-31 15:17:26.892000060,1.0,1.0
139,2019-12-31 15:19:39.959000090,-1.0,0.0
140,2019-12-31 15:19:39.959000120,-1.0,1.0
141,2019-12-31 15:40:28.644000220,-1.0,0.0
142,2019-12-31 15:40:28.644000250,-1.0,-1.0
143,2019-12-31 15:44:34.621000170,-1.0,0.0
144,2019-12-31 15:44:34.621000210,-1.0,-1.0
145,2019-12-31 15:45:37.272000240,-1.0,0.0
146,2019-12-31 15:45:37.272000270,-1.0,0.0
147,2019-12-31 15:45:37.373000010,1.0,0.0
148,2019-12-31 15:45:37.474000200,-1.0,1.0
149,2019-12-31 15:51:37.842000150,1.0,0.0
150,2019-12-31 15:51:37.842000190,1.0,1.0
151,2019-12-31 15:53:41.899000220,1.0,0.0
152,2019-12-31 15:54:08.368000300,-1.0,-1.0
153,2019-12-31 16:01:51.373000140,1.0,0.0
154,2019-12-31 16:01:51.374000030,1.0,1.0
155,2019-12-31 16:03:33.906000020,-1.0,1.0
156,2019-12-31 16:04:22.285000310,1.0,0.0
157,2019-12-31 16:04:22.488000050,-1.0,0.0
158,2019-12-31 16:04:22.590000200,1.0,0.0
159,2019-12-31 16:04:25.009000200,1.0,0.0
160,2019-12-31 16:04:26.019000170,-1.0,0.0
161,2019-12-31 16:04:31.560000240,1.0,-1.0
162,2019-12-31 16:06:36.864000210,-1.0,0.0
163,2019-12-31 16:06:36.864000260,-1.0,0.0
164,2019-12-31 16:06:46.141000030,1.0,0.0
165,2019-12-31 16:06:46.141000060,1.0,0.0
166,2019-12-31 16:09:08.385000030,-1.0,1.0
167,2019-12-31 16:17:48.606000210,1.0,0.0
168,2019-12-31 16:17:48.606000240,1.0,1.0
169,2019-12-31 16:21:37.781000010,-1.0,-1.0
170,2019-12-31 16:24:32.856000260,1.0,0.0
171,2019-12-31 16:24:32.857000020,1.0,1.0
172,2019-12-31 16:35:54.208000120,1.0,0.0
173,2019-12-31 16:35:54.208000150,1.0,0.0
174,2019-12-31 16:36:26.321000170,-1.0,0.0
175,2019-12-31 16:36:26.322000020,-1.0,0.0
176,2019-12-31 16:36:29.355000200,1.0,0.0
177,2019-12-31 16:36:29.355000230,1.0,-1.0
178,2019-12-31 16:39:04.907000220,-1.0,0.0
179,2019-12-31 16:39:04.908000030,-1.0,1.0
180,2019-12-31 17:47:41.579000030,-1.0,0.0
181,2019-12-31 17:47:41.579000060,-1.0,-1.0
182,2019-12-31 17:48:26.267000250,-1.0,0.0
183,2019-12-31 17:48:26.267000280,-1.0,1.0
184,2019-12-31 17:49:29.836000020,-1.0,0.0
185,2019-12-31 17:49:29.836000060,-1.0,0.0
186,2019-12-31 17:50:26.454000120,1.0,0.0
187,2019-12-31 17:50:34.943000290,1.0,0.0
188,2019-12-31 17:52:09.797000110,-1.0,0.0
189,2019-12-31 17:52:09.797000140,-1.0,0.0
190,2019-12-31 17:52:28.672000190,-1.0,0.0
191,2019-12-31 17:52:28.672000230,-1.0,0.0
192,2019-12-31 17:52:46.716000230,-1.0,0.0
193,2019-12-31 17:52:48.138000080,1.0,0.0
194,2019-12-31 17:52:51.093000190,-1.0,0.0
195,2019-12-31 17:52:51.502000180,1.0,-1.0
196,2019-12-31 17:57:27.722000220,-1.0,0.0
197,2019-12-31 17:57:27.722000270,-1.0,0.0
198,2019-12-31 17:58:04.465000210,-1.0,0.0
199,2019-12-31 17:58:04.465000250,-1.0,0.0
200,2019-12-31 17:58:14.407000180,-1.0,0.0
201,2019-12-31 17:58:14.407000230,-1.0,1.0
202,2019-12-31 17:59:41.560000240,1.0,0.0
203,2020-01-02 10:00:00.630000250,1.0,0.0
204,2020-01-02 10:00:00.738000360,-1.0,0.0
205,2020-01-02 10:00:00.852000240,1.0,0.0
206,2020-01-02 10:00:03.522000240,-1.0,0.0
207,2020-01-02 10:00:03.522000280,-1.0,-1.0
208,2020-01-02 10:00:38.747000160,-1.0,0.0
209,2020-01-02 10:00:38.747000210,-1.0,1.0
210,2020-01-02 10:00:51.583000150,1.0,0.0
211,2020-01-02 10:00:54.007000000,1.0,1.0
212,2020-01-02 10:00:57.440000140,-1.0,1.0
213,2020-01-02 10:02:51.025000070,1.0,0.0
214,2020-01-02 10:03:05.380000180,-1.0,1.0
215,2020-01-02 10:06:07.801000020,-1.0,0.0
216,2020-01-02 10:06:08.869000300,-1.0,-1.0
217,2020-01-02 10:07:25.000000160,-1.0,0.0
218,2020-01-02 10:07:25.000000200,-1.0,1.0
219,2020-01-02 10:08:40.544000100,1.0,0.0
220,2020-01-02 10:08:41.454000370,-1.0,0.0
221,2020-01-02 10:08:44.588000260,-1.0,1.0
222,2020-01-02 10:12:13.299000060,-1.0,0.0
223,2020-01-02 10:12:13.299000090,-1.0,1.0
224,2020-01-02 10:13:05.129000230,1.0,0.0
225,2020-01-02 10:13:08.568000280,-1.0,0.0
226,2020-01-02 10:13:10.593000190,-1.0,-1.0
227,2020-01-02 10:17:24.410000030,1.0,0.0
228,2020-01-02 10:17:24.410000090,1.0,-1.0
229,2020-01-02 10:19:30.157000200,1.0,0.0
230,2020-01-02 10:19:30.157000260,1.0,-1.0
231,2020-01-02 10:27:18.130000180,1.0,0.0
232,2020-01-02 10:27:18.130000210,1.0,-1.0
233,2020-01-02 10:27:46.145000210,1.0,0.0
234,2020-01-02 10:27:46.145000260,1.0,0.0
235,2020-01-02 10:28:03.535000130,1.0,0.0
236,2020-01-02 10:28:03.535000180,1.0,-1.0
237,2020-01-02 10:45:09.755000020,1.0,0.0
238,2020-01-02 10:45:09.755000070,1.0,0.0
239,2020-01-02 10:45:19.370000050,-1.0,0.0
240,2020-01-02 10:45:19.370000080,-1.0,0.0
241,2020-01-02 10:45:39.052000230,1.0,0.0
242,2020-01-02 10:46:22.295000320,-1.0,-1.0
243,2020-01-02 10:51:35.143000150,1.0,0.0
244,2020-01-02 10:52:02.028000240,-1.0,1.0
245,2020-01-02 10:58:51.867000050,1.0,0.0
246,2020-01-02 10:58:51.867000090,1.0,0.0
247,2020-01-02 10:58:58.532000140,-1.0,-1.0
248,2020-01-02 11:00:41.517000160,1.0,0.0
249,2020-01-02 11:00:41.517000190,1.0,0.0
250,2020-01-02 11:00:41.720000200,-1.0,-1.0
251,2020-01-02 11:00:49.197000010,-1.0,-1.0
